Date,Web Visits
2018-06-27,160.0
2018-06-28,152.0
2018-06-29,149.0
2018-06-30,177.0
2018-07-01,166.0
2018-07-02,180.0
2018-07-03,195.0
2018-07-04,173.0
2018-07-05,188.0
2018-07-06,143.0
2018-07-07,145.0
2018-07-08,157.0
2018-07-09,180.0
2018-07-10,160.0
2018-07-11,158.0
2018-07-12,173.0
2018-07-13,155.0
2018-07-14,130.0
2018-07-15,169.0
2018-07-16,170.0
2018-07-17,175.0
2018-07-18,169.0
2018-07-19,144.0
2018-07-20,150.0
2018-07-21,131.0
2018-07-22,164.0
2018-07-23,154.0
2018-07-24,167.0
2018-07-25,161.0
2018-07-26,136.0
2018-07-27,134.0
2018-07-28,148.0
2018-07-29,142.0
2018-07-30,150.0
2018-07-31,172.0
2018-08-01,159.0
2018-08-02,158.0
2018-08-03,152.0
2018-08-04,152.0
2018-08-05,162.0
2018-08-06,161.0
2018-08-07,180.0
2018-08-08,141.0
2018-08-09,166.0
2018-08-10,160.0
2018-08-11,167.0
2018-08-12,147.0
2018-08-13,172.0
2018-08-14,165.0
2018-08-15,158.0
2018-08-16,173.0
2018-08-17,168.0
2018-08-18,127.0
2018-08-19,182.0
2018-08-20,184.0
2018-08-21,192.0
2018-08-22,166.0
2018-08-23,172.0
2018-08-24,179.0
2018-08-25,149.0
2018-08-26,186.0
2018-08-27,205.0
2018-08-28,196.0
2018-08-29,226.0
2018-08-30,212.0
2018-08-31,198.0
2018-09-01,186.0
2018-09-02,204.0
2018-09-03,201.0
2018-09-04,208.0
2018-09-05,205.0
2018-09-06,213.0
2018-09-07,191.0
2018-09-08,190.0
2018-09-09,211.0
2018-09-10,239.0
2018-09-11,227.0
2018-09-12,227.0
2018-09-13,226.0
2018-09-14,208.0
2018-09-15,203.0
2018-09-16,198.0
2018-09-17,218.0
2018-09-18,226.0
2018-09-19,233.0
2018-09-20,220.0
2018-09-21,213.0
2018-09-22,184.0
2018-09-23,343.0
2018-09-24,229.0
2018-09-25,224.0
2018-09-26,225.0
2018-09-27,221.0
2018-09-28,247.0
2018-09-29,189.0
2018-09-30,219.0
2018-10-01,229.0
2018-10-02,222.0
2018-10-03,228.0
2018-10-04,254.0
2018-10-05,201.0
2018-10-06,192.0
2018-10-07,208.0
2018-10-08,235.0
2018-10-09,247.0
2018-10-10,211.0
2018-10-11,217.0
2018-10-12,207.0
2018-10-13,198.0
2018-10-14,210.0
2018-10-15,252.0
2018-10-16,229.0
2018-10-17,199.0
2018-10-18,200.0
2018-10-19,210.0
2018-10-20,207.0
2018-10-21,229.0
2018-10-22,254.0
2018-10-23,230.0
2018-10-24,245.0
2018-10-25,225.0
2018-10-26,222.0
2018-10-27,190.0
2018-10-28,233.0
2018-10-29,254.0
2018-10-30,203.0
2018-10-31,239.0
2018-11-01,202.0
2018-11-02,204.0
2018-11-03,203.0
2018-11-04,232.0
2018-11-05,214.0
2018-11-06,243.0
2018-11-07,260.0
2018-11-08,221.0
2018-11-09,220.0
2018-11-10,237.0
2018-11-11,251.0
2018-11-12,260.0
2018-11-13,260.0
2018-11-14,244.0
2018-11-15,242.0
2018-11-16,226.0
2018-11-17,210.0
2018-11-18,260.0
2018-11-19,249.0
2018-11-20,247.0
2018-11-21,244.0
2018-11-22,264.0
2018-11-23,326.0
2018-11-24,210.0
2018-11-25,253.0
2018-11-26,244.0
2018-11-27,249.0
2018-11-28,256.0
2018-11-29,228.0
2018-11-30,219.0
2018-12-01,233.0
2018-12-02,231.0
2018-12-03,245.0
2018-12-04,236.0
2018-12-05,271.0
2018-12-06,244.0
2018-12-07,238.0
2018-12-08,246.0
2018-12-09,257.0
2018-12-10,249.0
2018-12-11,241.0
2018-12-12,268.0
2018-12-13,256.0
2018-12-14,225.0
2018-12-15,196.0
2018-12-16,222.0
2018-12-17,239.0
2018-12-18,210.0
2018-12-19,199.0
2018-12-20,182.0
2018-12-21,171.0
2018-12-22,174.0
2018-12-23,199.0
2018-12-24,211.0
2018-12-25,236.0
2018-12-26,215.0
2018-12-27,208.0
2018-12-28,208.0
2018-12-29,235.0
2018-12-30,274.0
2018-12-31,295.0
2019-01-01,274.0
2019-01-02,267.0
2019-01-03,283.0
2019-01-04,258.0
2019-01-05,219.0
2019-01-06,279.0
2019-01-07,337.0
2019-01-08,277.0
2019-01-09,312.0
2019-01-10,265.0
2019-01-11,271.0
2019-01-12,237.0
2019-01-13,263.0
2019-01-14,249.0
2019-01-15,300.0
2019-01-16,293.0
2019-01-17,247.0
2019-01-18,266.0
2019-01-19,241.0
2019-01-20,229.0
2019-01-21,249.0
2019-01-22,247.0
2019-01-23,279.0
2019-01-24,267.0
2019-01-25,229.0
2019-01-26,212.0
2019-01-27,248.0
2019-01-28,259.0
2019-01-29,269.0
2019-01-30,303.0
2019-01-31,247.0
2019-02-01,252.0
2019-02-02,208.0
2019-02-03,248.0
2019-02-04,269.0
2019-02-05,268.0
2019-02-06,269.0
2019-02-07,266.0
2019-02-08,263.0
2019-02-09,223.0
2019-02-10,252.0
2019-02-11,267.0
2019-02-12,256.0
2019-02-13,256.0
2019-02-14,334.0
2019-02-15,219.0
2019-02-16,235.0
2019-02-17,245.0
2019-02-18,268.0
2019-02-19,260.0
2019-02-20,279.0
2019-02-21,261.0
2019-02-22,220.0
2019-02-23,227.0
2019-02-24,266.0
2019-02-25,325.0
2019-02-26,282.0
2019-02-27,258.0
2019-02-28,243.0
2019-03-01,245.0
2019-03-02,244.0
2019-03-03,266.0
2019-03-04,286.0
2019-03-05,275.0
2019-03-06,318.0
2019-03-07,251.0
2019-03-08,238.0
2019-03-09,197.0
2019-03-10,275.0
2019-03-11,257.0
2019-03-12,276.0
2019-03-13,258.0
2019-03-14,252.0
2019-03-15,267.0
2019-03-16,217.0
2019-03-17,237.0
2019-03-18,253.0
2019-03-19,248.0
2019-03-20,428.0
2019-03-21,275.0
2019-03-22,219.0
2019-03-23,196.0
2019-03-24,213.0
2019-03-25,249.0
2019-03-26,255.0
2019-03-27,260.0
2019-03-28,225.0
2019-03-29,231.0
2019-03-30,205.0
2019-03-31,245.0
2019-04-01,261.0
2019-04-02,293.0
2019-04-03,253.0
2019-04-04,210.0
2019-04-05,232.0
2019-04-06,202.0
2019-04-07,204.0
2019-04-08,248.0
2019-04-09,250.0
2019-04-10,268.0
2019-04-11,456.0
2019-04-12,598.0
2019-04-13,538.0
2019-04-14,602.0
2019-04-15,604.0
2019-04-16,625.0
2019-04-17,586.0
2019-04-18,641.0
2019-04-19,614.0
2019-04-20,608.0
2019-04-21,609.0
2019-04-22,385.0
2019-04-23,270.0
2019-04-24,246.0
2019-04-25,281.0
2019-04-26,272.0
2019-04-27,220.0
2019-04-28,249.0
2019-04-29,275.0
2019-04-30,280.0
2019-05-01,342.0
2019-05-02,230.0
2019-05-03,251.0
2019-05-04,226.0
2019-05-05,259.0
2019-05-06,295.0
2019-05-07,307.0
2019-05-08,289.0
2019-05-09,302.0
2019-05-10,269.0
2019-05-11,254.0
2019-05-12,246.0
2019-05-13,251.0
2019-05-14,266.0
2019-05-15,264.0
2019-05-16,270.0
2019-05-17,235.0
2019-05-18,251.0
2019-05-19,292.0
2019-05-20,300.0
2019-05-21,295.0
2019-05-22,261.0
2019-05-23,271.0
2019-05-24,270.0
2019-05-25,229.0
2019-05-26,272.0
2019-05-27,284.0
2019-05-28,302.0
2019-05-29,284.0
2019-05-30,421.0
2019-05-31,253.0
2019-06-01,252.0
2019-06-02,264.0
2019-06-03,256.0
2019-06-04,257.0
2019-06-05,320.0
2019-06-06,250.0
2019-06-07,264.0
2019-06-08,228.0
2019-06-09,263.0
2019-06-10,255.0
2019-06-11,286.0
2019-06-12,245.0
2019-06-13,244.0
2019-06-14,234.0
2019-06-15,207.0
2019-06-16,223.0
2019-06-17,257.0
2019-06-18,259.0
2019-06-19,264.0
2019-06-20,241.0
2019-06-21,262.0
2019-06-22,221.0
2019-06-23,221.0
2019-06-24,276.0
2019-06-25,242.0
2019-06-26,247.0
2019-06-27,259.0
2019-06-28,265.0
2019-06-29,236.0
2019-06-30,247.0
2019-07-01,258.0
2019-07-02,232.0
2019-07-03,246.0
2019-07-04,257.0
2019-07-05,251.0
2019-07-06,178.0
2019-07-07,251.0
2019-07-08,259.0
2019-07-09,282.0
2019-07-10,221.0
2019-07-11,226.0
2019-07-12,216.0
2019-07-13,197.0
2019-07-14,237.0
2019-07-15,225.0
2019-07-16,211.0
2019-07-17,232.0
2019-07-18,238.0
2019-07-19,245.0
2019-07-20,236.0
2019-07-21,216.0
2019-07-22,257.0
2019-07-23,229.0
2019-07-24,226.0
2019-07-25,262.0
2019-07-26,244.0
2019-07-27,243.0
2019-07-28,215.0
2019-07-29,276.0
2019-07-30,254.0
2019-07-31,254.0
2019-08-01,263.0
2019-08-02,228.0
2019-08-03,213.0
2019-08-04,240.0
2019-08-05,227.0
2019-08-06,250.0
2019-08-07,260.0
2019-08-08,243.0
2019-08-09,263.0
2019-08-10,212.0
2019-08-11,209.0
2019-08-12,236.0
2019-08-13,250.0
2019-08-14,229.0
2019-08-15,250.0
2019-08-16,242.0
2019-08-17,214.0
2019-08-18,236.0
2019-08-19,247.0
2019-08-20,277.0
2019-08-21,236.0
2019-08-22,259.0
2019-08-23,263.0
2019-08-24,205.0
2019-08-25,240.0
2019-08-26,258.0
2019-08-27,253.0
2019-08-28,257.0
2019-08-29,281.0
2019-08-30,279.0
2019-08-31,256.0
2019-09-01,244.0
2019-09-02,305.0
2019-09-03,269.0
2019-09-04,285.0
2019-09-05,266.0
2019-09-06,262.0
2019-09-07,254.0
2019-09-08,270.0
2019-09-09,264.0
2019-09-10,258.0
2019-09-11,247.0
2019-09-12,260.0
2019-09-13,250.0
2019-09-14,241.0
2019-09-15,244.0
2019-09-16,285.0
2019-09-17,281.0
2019-09-18,287.0
2019-09-19,300.0
2019-09-20,250.0
2019-09-21,260.0
2019-09-22,289.0
2019-09-23,337.0
2019-09-24,311.0
2019-09-25,330.0
2019-09-26,314.0
2019-09-27,304.0
2019-09-28,290.0
2019-09-29,317.0
2019-09-30,333.0
2019-10-01,282.0
2019-10-02,309.0
2019-10-03,285.0
2019-10-04,297.0
2019-10-05,277.0
2019-10-06,313.0
2019-10-07,351.0
2019-10-08,311.0
2019-10-09,379.0
2019-10-10,368.0
2019-10-11,262.0
2019-10-12,237.0
2019-10-13,325.0
2019-10-14,315.0
2019-10-15,282.0
2019-10-16,254.0
2019-10-17,248.0
2019-10-18,235.0
2019-10-19,199.0
2019-10-20,263.0
2019-10-21,283.0
2019-10-22,264.0
2019-10-23,227.0
2019-10-24,214.0
2019-10-25,247.0
2019-10-26,188.0
2019-10-27,212.0
2019-10-28,236.0
2019-10-29,239.0
2019-10-30,259.0
2019-10-31,243.0
2019-11-01,225.0
2019-11-02,246.0
2019-11-03,247.0
2019-11-04,267.0
2019-11-05,250.0
2019-11-06,339.0
2019-11-07,259.0
2019-11-08,304.0
2019-11-09,267.0
2019-11-10,252.0
2019-11-11,288.0
2019-11-12,274.0
2019-11-13,272.0
2019-11-14,258.0
2019-11-15,228.0
2019-11-16,233.0
2019-11-17,239.0
2019-11-18,255.0
2019-11-19,237.0
2019-11-20,251.0
2019-11-21,236.0
2019-11-22,240.0
2019-11-23,235.0
2019-11-24,287.0
2019-11-25,261.0
2019-11-26,270.0
2019-11-27,273.0
2019-11-28,230.0
2019-11-29,216.0
2019-11-30,225.0
2019-12-01,262.0
2019-12-02,299.0
2019-12-03,281.0
2019-12-04,261.0
2019-12-05,253.0
2019-12-06,271.0
2019-12-07,261.0
2019-12-08,266.0
2019-12-09,269.0
2019-12-10,257.0
2019-12-11,276.0
2019-12-12,248.0
2019-12-13,266.0
2019-12-14,242.0
2019-12-15,260.0
2019-12-16,342.0
2019-12-17,237.0
2019-12-18,266.0
2019-12-19,215.0
2019-12-20,211.0
2019-12-21,189.0
2019-12-22,181.0
2019-12-23,281.0
2019-12-24,263.0
2019-12-25,258.0
2019-12-26,268.0
2019-12-27,228.0
2019-12-28,200.0
